,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,309636.0,0.0,309636
1,100,0.00717351799539756,296321.0,13.01202474800084,128702
2,250,0.018029872997431085,289327.0,32.442156502002035,94774
3,500,0.03586703600012697,271885.0,63.7904600220063,75442
4,750,0.05367335199844092,256049.0,94.87676272800309,66562
5,1000,0.07147762299427995,249063.0,125.03204357600043,63300
6,1250,0.08907930799614405,240526.0,154.34169837700028,63300
7,1500,0.10668669299775502,235233.0,183.7225225630027,63299
8,2000,0.14156740299949888,222106.0,242.27286311100033,63268
9,5000,0.3478368549986044,177296.0,599.6783292590044,63237
