,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,309636.0,0.0,309636
1,100,0.007742902998870704,298221.0,13.00595382299798,126258
2,250,0.019551029996364377,280900.0,32.45868357499421,91229
3,500,0.03910338399873581,266279.0,63.85227622399543,72665
4,750,0.0586039069967228,253121.0,94.94795346899627,65663
5,1000,0.07801543299865443,242203.0,124.98157280299347,62286
6,1250,0.09740566199616296,236732.0,154.24578764099715,62210
7,1500,0.11673173399321968,230045.0,183.87189278799633,62210
8,2000,0.15505769799347036,218093.0,244.01734020199365,61672
9,5000,0.3824180479932693,179056.0,605.5892411249952,61555
