,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,309636.0,0.0,309636
1,100,0.006911374999617692,303262.0,12.507188042000053,126260
2,250,0.017443812001147307,290172.0,31.15126013900226,91337
3,500,0.03488193399971351,271209.0,61.46819952900114,72433
4,750,0.05213119299878599,258897.0,91.25872887900186,66138
5,1000,0.06944651799858548,251141.0,120.31249880800169,60714
6,1250,0.08659423900098773,242268.0,148.6043274779986,60147
7,1500,0.10369325400097296,233140.0,176.76547416500034,60130
8,2000,0.13748226700045052,226219.0,233.68649847399865,60129
9,5000,0.338330954000412,180163.0,577.4699106989974,60063
