,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,309636.0,0.0,309636
1,100,0.007170508004492149,297433.0,12.803945601001033,126258
2,250,0.018115477003448177,286398.0,31.910746458001086,90488
3,500,0.036142775003099814,270199.0,62.96185132400569,72274
4,750,0.05406850000144914,258950.0,94.04514492000453,64323
5,1000,0.07205002500268165,247176.0,125.22427749100461,62352
6,1250,0.08981555799982743,236965.0,156.17562225800066,61525
7,1500,0.1075575389986625,229835.0,185.70946407700103,61460
8,2000,0.14260559499962255,223845.0,242.40751350900246,61459
9,5000,0.3513586680055596,184263.0,585.4218942680018,61459
