,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,287844.0,0.0,287844
1,100,0.006670340997516178,210104.0,2.6394958249984484,72129
2,250,0.016752895000536228,172797.0,6.20538391700029,55447
3,500,0.03335335299925646,141696.0,10.930297184000665,55388
4,750,0.04995580299873836,127580.0,15.578853466999135,55389
5,1000,0.06651118899753783,117928.0,20.212959762000537,55389
6,1250,0.08307156999944709,112324.0,24.835722203999467,55388
7,1500,0.09973020200050087,103712.0,29.503191851999873,55388
8,2000,0.13261142099872814,96586.0,38.80980288700084,55388
9,5000,0.32808606199978385,78652.0,94.58189991600011,55388
