,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,287844.0,0.0,287844
1,100,0.006791475996578811,229990.0,2.59327481299988,72469
2,250,0.0170310139983485,189549.0,6.194244919999619,58215
3,500,0.03395965699746739,154844.0,11.938976148998336,58215
4,750,0.05089963099817396,132682.0,17.753868873998726,58215
5,1000,0.06774090699764201,126379.0,23.501844892998633,58215
6,1250,0.08442333799757762,120917.0,29.199777620000532,58215
7,1500,0.10096357599832118,116876.0,34.88647283300088,58215
8,2000,0.13404142999934265,109379.0,46.27370347000033,58215
9,5000,0.33078846499847714,89764.0,114.92914091299826,58215
