,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,26280.0,0.0,26280
1,5,0.00032457299676025286,26280.0,0.042405463002069155,20166
2,10,0.0007999819972610567,25914.0,0.08356909500071197,16261
3,20,0.0015796569969097618,24066.0,0.15981350199945155,12872
4,30,0.002348759997403249,23642.0,0.24164339900016785,10769
5,50,0.003776798999751918,22079.0,0.38998012299998663,9287
6,70,0.005140172997926129,19570.0,0.504331538999395,9276
7,100,0.007140933998016408,18367.0,0.6800746469998558,9276
8,200,0.013434529999358347,18104.0,1.2589467389989295,9276
9,300,0.019798997996986145,16314.0,1.8337271150012384,9276
10,500,0.034744164997391636,14904.0,3.0037082050002937,9276
