,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,506767.0,0.0,506767
1,100,0.007101307994162198,461923.0,12.606275285994343,224389
2,250,0.017959008997422643,417938.0,31.68733231299848,148264
3,500,0.03571814199676737,368958.0,63.34737381299783,113051
4,750,0.05342957499669865,345478.0,94.93316571799369,96706
5,1000,0.07122925099974964,331663.0,126.12036011299642,88346
6,1250,0.08881311399454717,318836.0,157.40572943399457,84443
7,1500,0.10641481899801875,306246.0,188.24906331799866,82291
8,1750,0.12398173099791165,291773.0,218.81981566499599,81306
9,2000,0.1415537079956266,282908.0,249.25336128299386,81255
10,2500,0.1762888169978396,267963.0,310.2446790269969,81011
11,5000,0.34765496899490245,225440.0,617.9040353210003,81005
12,7500,0.5189262979984051,209246.0,927.2184624379952,80971
13,10000,0.6900856309948722,196787.0,1235.4106197559959,80971
14,12500,0.8626910649982165,183269.0,1543.4040760720018,80969
15,15000,1.0352485749972402,174699.0,1851.7484395049905,80969
16,17500,1.2074804829971981,169772.0,2159.0362483470017,80969
17,20000,1.3796199549979065,165387.0,2466.6560568979985,80969
