,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,26280.0,0.0,26280
1,100,0.006107422996137757,18367.0,0.6697913980024168,9276
2,250,0.015680974000133574,17369.0,1.5357110629993258,9276
3,500,0.04272033199958969,14904.0,2.9706803490043967,9276
4,750,0.07358740599738667,14081.0,4.424178686000232,9276
5,1000,0.10543183999834582,13793.0,5.926864314998966,9276
6,1250,0.13410867299535312,13541.0,7.357130682998104,9276
7,1500,0.16129153299698373,13009.0,8.78652013700048,9276
8,1750,0.18861727699550102,12908.0,10.238262521001161,9276
9,2000,0.21913952699833317,12668.0,11.683672136001405,9276
10,2500,0.26828592599486,12436.0,14.70340333400236,9276
11,5000,0.43059681599697797,11407.0,29.88409269999829,9276
12,7500,0.5790774459965178,11344.0,44.237454653004534,9276
13,10000,0.7292634979967261,11344.0,58.56366607700329,9276
14,12500,0.8765574159988319,11344.0,72.86730137999984,9276
15,15000,1.0233523049973883,11344.0,87.17953900599969,9276
16,17500,1.1701848459997564,11344.0,101.61217449900141,9276
17,20000,1.3161575119956979,11344.0,115.92800383300346,9276
