,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,253594.0,0.0,253594
1,5,0.0003421379988139961,246823.0,0.13347847299883142,211057
2,10,0.0008993039991764817,243924.0,0.28330013699815026,174444
3,20,0.0017464310003560968,236835.0,0.6353975829988485,136940
4,30,0.0026167510004597716,235537.0,0.9060817579993454,115010
5,50,0.004139935997955035,228010.0,1.45002500499686,91386
6,70,0.00565344099959475,213293.0,1.979289823997533,80436
7,100,0.007925174999400042,202030.0,2.7802541329983796,70105
8,200,0.014633203998528188,177797.0,5.428931510999973,56228
9,300,0.0213305519973801,166681.0,7.731865336998453,54246
10,500,0.03457462399819633,148994.0,12.085838158996921,54248
