,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,253594.0,0.0,253594
1,5,0.0003501190003589727,246823.0,0.11633442699894658,211057
2,10,0.0009189780030283146,243924.0,0.24895548800122924,174444
3,20,0.001804338000511052,236835.0,0.5125215410007513,136940
4,30,0.00269405500148423,235537.0,0.7730979490006575,115010
5,50,0.004249910001817625,228010.0,1.2992873240000335,91386
6,70,0.005802250001579523,213293.0,1.8266577460017288,80436
7,100,0.008071669999480946,202030.0,2.60357037599897,70105
8,200,0.015124404002563097,177797.0,5.141745449000155,56228
9,300,0.022020894000888802,166681.0,7.436730598001304,54246
10,500,0.036777241999516264,148994.0,11.812521444000595,54246
