,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,22205.0,0.0,22205
1,100,0.006571903999429196,18635.0,0.8246965530015586,11122
2,250,0.01660222799910116,16729.0,1.8077960219998204,11122
3,500,0.03526502499880735,14626.0,3.293402810999396,11122
4,750,0.05650859299930744,14002.0,4.734976978001214,11122
5,1000,0.07335177099957946,13466.0,6.1809962340012135,11122
6,1250,0.09194110699900193,12982.0,7.656454881998798,11122
7,1500,0.10808353399988846,12398.0,9.111838713000907,11122
8,2000,0.140783469996677,12071.0,12.08012947699899,11122
9,5000,0.34461944999929983,11866.0,29.436646433001442,11122
