,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,22205.0,0.0,22205
1,100,0.006555059000675101,19475.0,0.6042716289994132,11525
2,250,0.01669487800245406,17969.0,1.4346892920002574,11524
3,500,0.03334329000063008,15468.0,2.825237826000375,11524
4,750,0.049743114002922084,14697.0,4.2094766900008835,11524
5,1000,0.06624352500148234,13405.0,5.5911833600002865,11524
6,1250,0.08237190600266331,13279.0,6.97484785800043,11524
7,1500,0.09872737400291953,13237.0,8.354831525000918,11524
8,2000,0.13104602699968382,12936.0,11.128148927000439,11524
9,5000,0.32059731499975896,11628.0,27.710534919002384,11524
