,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,22205.0,0.0,22205
1,100,0.006015317998389946,18440.0,0.5982317939997301,11524
2,250,0.01520890899701044,17194.0,1.454193318997568,11524
3,500,0.031078560998139437,15462.0,3.133391897998081,11050
4,750,0.04656678999890573,12713.0,4.616953040000226,11050
5,1000,0.061779812996974215,12664.0,6.18888514399805,11051
6,1250,0.07713963299829629,12345.0,7.639270902000135,11050
7,1500,0.09229680999851553,12247.0,9.084497333999025,11051
8,2000,0.12259895499664708,11582.0,11.943822373999865,11050
9,5000,0.29789024999990943,10944.0,29.022282563997578,11050
