,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,558382155.0,0.0,558382155
1,100,0.007845592001103796,527920476.0,33.10130427699187,324491766
2,250,0.020166809990769252,495527894.0,83.09251945599681,201382489
3,500,0.04015444598917384,458128588.0,166.57972167700063,150961746
4,750,0.06022777099860832,436536293.0,249.9360377349949,128297678
5,1000,0.08021212099993136,413423269.0,333.1637789429951,117170175
6,1250,0.10003743099514395,396475276.0,416.1196348800004,106606881
7,1500,0.11989960700157098,378998918.0,498.859481691994,102563496
8,1750,0.1397602659999393,370301233.0,581.9285476270015,97530500
9,2000,0.15959592499712016,362106417.0,664.4254374909942,94993451
10,2500,0.1988326699938625,340649097.0,828.7570930530055,89135528
11,5000,0.39307574200211093,292263401.0,1608.6304117700056,89105687
12,7500,0.5861374499945669,261729721.0,2398.1054751789925,89105687
13,10000,0.7794554739957675,241710633.0,3200.425383310998,89105687
14,12500,0.9729814960010117,227679333.0,4007.0471469930053,89105687
15,15000,1.1669031029887265,217495357.0,4816.416440982997,89105687
16,17500,1.3598680879949825,209070637.0,5626.236424767994,89105687
17,20000,1.5522644610027783,199343433.0,6437.328432726004,89105687
