,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,253594.0,0.0,253594
1,100,0.0063743720020283945,202030.0,2.678412496999954,70105
2,250,0.015971975000866223,172937.0,6.485089225003321,54246
3,500,0.03171219700016081,148994.0,12.137877940003818,54248
4,750,0.047457576998567674,137296.0,17.748840217005636,54246
5,1000,0.06311888200434623,130898.0,23.303610829003446,54246
6,1250,0.07871128999977373,117909.0,29.088631345002796,54246
7,1500,0.09423998599959305,115247.0,34.77504503400269,54246
8,1750,0.1098129880047054,110252.0,40.41204230199946,54246
9,2000,0.1253488170041237,108676.0,46.08421377700142,53988
10,2500,0.15620086600392824,104025.0,57.44237040400185,53988
11,5000,0.31305931200040504,88804.0,114.26585282900487,53990
12,7500,0.46681434199854266,80319.0,170.87125863500114,53988
13,10000,0.6241862360038795,75576.0,227.3715016300048,53988
14,12500,0.7773173440000392,69438.0,284.2042628000054,53988
15,15000,0.9316069440028514,67204.0,341.05857713700243,53988
16,17500,1.0894032700016396,65572.0,397.60545043800084,53988
17,20000,1.2437729220037,62467.0,454.0355090400044,53988
