,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,253594.0,0.0,253594
1,100,0.006509685001219623,202030.0,2.640915785996185,70105
2,250,0.016434798002592288,172937.0,6.399999624001794,54246
3,500,0.032613057002890855,148994.0,12.035181576997275,54246
4,750,0.048859981005080044,137296.0,17.6001614659981,54246
5,1000,0.06504247700650012,130898.0,23.158747856003174,54246
6,1250,0.08124283600045601,117909.0,28.92650765200233,54246
7,1500,0.09742705800454132,115247.0,34.59182685599808,54246
8,1750,0.11359137500403449,110252.0,40.15240861100028,54246
9,2000,0.12975610800640425,108676.0,45.73652770800254,53988
10,2500,0.16182221100461902,104025.0,56.95826112799841,53988
11,5000,0.3214337700046599,88804.0,113.33911622299638,53988
12,7500,0.4810168390031322,80317.0,169.30855829099892,53988
13,10000,0.6401762160021462,75576.0,225.08928401600133,53988
14,12500,0.7992003250037669,69438.0,281.1943843659974,53988
15,15000,0.9580436460018973,67204.0,337.4973668669991,53988
16,17500,1.116727542001172,65546.0,393.37309841800015,53988
17,20000,1.276037161005661,62591.0,449.6944111449993,53988
