,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,557634042.0,0.0,557634042
1,100,0.0077212399992276914,539122946.0,33.729868845002784,333001732
2,250,0.019783022995397914,508606270.0,84.55726176200551,214267186
3,500,0.03960089299653191,462875803.0,169.48312405000615,158804166
4,750,0.0594062039963319,436593477.0,254.81461660600326,133372761
5,1000,0.07925277100002859,416059397.0,339.7110446030056,120051501
6,1250,0.09893832400121028,398029076.0,423.92800369800534,113088990
7,1500,0.11861144499562215,385883751.0,508.4024010420035,106095277
8,2000,0.15748250400065444,357930087.0,677.4047154520013,96304229
9,5000,0.38767531600024085,288463896.0,1708.3115640570031,91699473
