,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,557634042.0,0.0,557634042
1,100,0.007972785002493765,538817927.0,33.337791730999015,333001732
2,250,0.020441922002646606,506817284.0,83.8573739469939,214267186
3,500,0.04086180000012973,466876189.0,168.04582663799374,158804166
4,750,0.06121009799971944,438800861.0,252.53183187499963,133372761
5,1000,0.08152938899729634,417653388.0,336.6627478559967,120051501
6,1250,0.10167680100130383,401130961.0,420.56107814799907,113088990
7,1500,0.12174111900094431,382266548.0,504.61653924399434,106095277
8,2000,0.1614017120009521,362402434.0,672.3725087649946,96304229
9,5000,0.39696199299942236,287764192.0,1702.075148789998,91699473
