,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,557634042.0,0.0,557634042
1,100,0.007777140999678522,539687858.0,33.22220787399419,333001732
2,250,0.019824807000986766,509506866.0,83.21059487799357,214267186
3,500,0.03956751200166764,466036317.0,166.99344727599964,158804166
4,750,0.05933267899672501,438713013.0,250.60644842799957,133382365
5,1000,0.07909806299721822,407071388.0,334.41140754399385,119814348
6,1250,0.09871637500327779,394291661.0,418.0655690279964,112845948
7,1500,0.11827521299710497,379335862.0,501.5370555069967,107742687
8,2000,0.1568846790032694,357323571.0,668.1721842729967,96745746
9,5000,0.38566442400042433,287630480.0,1687.9304504879983,91727655
