,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,557634042.0,0.0,557634042
1,100,0.0075152639983571135,526900217.0,34.46035973599646,333001732
2,250,0.019148947998473886,497559749.0,86.59616216699942,214267186
3,500,0.03819996999663999,462799384.0,173.70034945199586,158804166
4,750,0.05729753099876689,438556322.0,260.9726104930014,133382365
5,1000,0.07637063800211763,414816564.0,347.7780302859974,119814348
6,1250,0.0952399570014677,396850022.0,434.72577954299777,112845948
7,1500,0.11413836300198454,380351895.0,521.524356584996,107742687
8,2000,0.1513741899980232,355469408.0,695.023920734995,96708834
9,5000,0.3717351189989131,295630536.0,1755.9286765819998,90707246
